id,CODI_BASE,DSL,la,dc,sre,srd,dire,dird,dife,difd,dure,durd
1028,2088,3053,0.344965,50.3563,4593.11,4860.51,4915.93,3770.46,1325.86,1276.94,10.8849,9.59461
1029,2089,NULL,0.453817,19.8664,6874.59,6642.25,4996.62,5035.1,1439.1,1447.43,12.6836,11.788
1030,2090,2117,0.109586,1.29337,6122.24,6110.13,4977.74,4851.97,1481.51,1444.45,11.217,11.6371
1031,2091,3115,0.180897,2.813,6695.21,6702.73,5121.9,5049.49,1514.88,1474.71,12.5413,12.9801
1032,2092,2061,0.193364,61.7774,4942.09,5974.82,5007.6,4706.99,1424.68,1472.38,12.2306,12.11
1033,2093,2117,0.315716,38.4779,5884.04,5639.01,5056.76,4144.34,1468.97,1372.07,10.8488,10.5153
1034,2094,2093,0.163259,0.726475,5504.07,5595.71,5005.99,5006.13,1449.25,1445.76,9.58702,9.77269
1035,2095,NULL,0.0888702,NULL,6563.1,NULL,5116.64,NULL,1521.51,NULL,12.5761,NULL
1036,2096,50001,0.10315,2.95289,5900.35,6263.89,4998.78,5014.89,1488.48,1463.76,9.71475,10.9818
1037,2097,2101,0.0713685,1.34487,4122,5055.61,4991.24,3556.43,1414.89,1348.1,9.49227,10.1503
1038,2098,NULL,0.288769,NULL,6631.69,NULL,5056.08,NULL,1527.52,NULL,12.7485,NULL
1039,2099,3183,2.04801,32.322,5667.13,5464.21,4941.81,3950.53,1466.4,1371.04,10.6348,10.283
1040,2100,2133,1.78826,27.278,6732.71,6511.29,5020.89,4886.08,1481.8,1475.99,12.1973,11.6233
1041,2101,2094,0.0312646,1.53539,3799.44,5215.28,4994.79,3982.07,1406.87,1332.28,10.3644,10.6847
1042,2102,2156,3.0851,208.789,6151.69,5864.87,4947.4,4495.83,1431.08,1297.31,11.2541,10.1162
1043,2103,2061,0.0425303,0.954211,5924.13,6219.72,5275.95,5252.47,1518.54,1533.52,12.0126,12.4595
1044,2104,2093,0.0852133,0.801587,6547.46,6156.36,5113.61,5069.82,1476.66,1473.85,11.5787,11.4546
1045,2105,NULL,0.0110338,NULL,6543.92,NULL,5239.95,NULL,1553.4,NULL,10.6769,NULL
1046,2106,2090,0.0173034,0.134106,5808.27,5796.61,5003.12,5124.07,1486.13,1461.79,11.5483,11.5641
1047,2107,2092,0.507041,82.6228,4535.34,5486.34,4983.33,3959.03,1382.19,1401.46,10.1556,11.2556
1048,2108,2096,0.131449,2.21854,6211.51,6217.78,5119.11,4973.99,1535.39,1524.68,10.8702,10.8811
1049,2109,2084,0.0644156,1.74643,6805.07,6713.07,5115.73,4641.62,1570.71,1530.12,12.0561,11.8157
1050,2110,2109,2.06113,13.1155,6552.38,6570.49,5240.42,5199.81,1551.07,1525.47,11.8191,12.0592
1051,2111,NULL,0.0298036,NULL,6205.52,NULL,4976.03,NULL,1495.67,NULL,11.4742,NULL
1052,2112,2106,0.00974627,0.555245,NULL,6431.31,NULL,4622.22,NULL,1483.47,NULL,11.8703
1053,2113,NULL,0.0755696,NULL,5396.35,NULL,4621.51,NULL,1408.09,NULL,10.5371,NULL
1054,2114,NULL,0.0694196,7.20087,6960.3,5585.51,5141.91,4341.89,1575.71,1470.05,13.2186,12.1116
1055,2115,NULL,0.0825001,NULL,5926.6,NULL,5272.79,NULL,1423.1,NULL,10.8673,NULL
1056,2116,3056,0.0922158,0.933109,6009.67,5696.82,4991.19,4868.16,1474.44,1482.61,10.9242,10.937
1057,2117,2140,14.4399,139.71,5176.24,5735.65,4872.92,4349.79,1373.14,1359.51,10.6727,11.0331
1058,2118,2121,0.101835,12.6941,6898.85,6733.73,5205.66,5243.66,1533.05,1525.5,12.5774,11.8797
1059,2119,2092,0.0785581,4.077,5118.6,5189.74,4912.1,4576.08,1489.45,1456.67,10.6652,12.0281
1060,2120,2123,0.0447414,0.317965,6161.16,5803.85,4775.55,5043.93,1455.34,1460.6,12.1209,11.9789
1061,2121,3116,0.169191,9.65501,6896.11,6607.68,5078.42,5016.43,1539.54,1530.89,13.8637,12.5751
1062,2122,2061,0.051921,0.408955,5823.49,5822.59,5181,5202.95,1573.78,1571.61,13.8446,13.4619
1063,2123,2127,0.0811272,0.755385,6188.45,5625.9,4982.56,5007.45,1445.65,1437.6,12.0817,11.9789
1064,2124,3238,0.0722275,0.955595,6523.58,6347.73,5087.65,5178.42,1563.51,1561.49,13.8701,13.4536
1065,2125,2127,0.127534,0.646892,5768.1,5969.33,4997.97,4811.29,1455.91,1477.2,11.4829,11.5478
1066,2127,2117,1.39299,16.0486,5995.46,5521.19,4957.92,4218.09,1444.44,1417.41,11.0768,10.5485
1067,2128,2127,2.19414,46.4491,5492.96,5113.86,4889.45,3600.11,1366.05,1345.39,11.9271,10.7053
1068,2129,NULL,0.00636492,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1069,2130,NULL,0.00606413,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1070,2131,NULL,1.29813,40.6652,5385.6,5490.86,5046.88,4017.02,1449.55,1393.83,13.0191,11.4378
1071,2132,2061,6.1886,30.651,6567.02,6621.15,5097.23,5113.3,1556.66,1524.58,13.2322,13.053
1072,2133,2134,4.66681,41.1224,6572.33,6455.83,5099.38,4879.34,1523.42,1455.51,12.333,11.8967
1073,2134,50001,22.0732,191.148,6070.64,6087.28,4935.92,4740.82,1431.81,1417.27,11.4744,11.2254
1074,2135,NULL,0.0798232,NULL,6540.08,NULL,5057.42,NULL,1537.99,NULL,11.3223,NULL
1075,2136,NULL,0.0174995,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1076,2138,2107,0.947625,20.8358,5606.73,5917.98,5011.7,4527.61,1488.97,1461.53,11.0649,11.9925
1077,2139,NULL,0.203318,NULL,6540.47,NULL,5053.66,NULL,1451.29,NULL,10.8753,NULL
1078,2140,NULL,0.478563,116.423,3968.34,5202.86,4843.47,3940.27,1391.14,1328.05,10.4101,10.7208
1079,2141,2174,0.100968,9.93346,6661.79,6279.77,5155.6,5013.83,1540.79,1519.47,10.9376,11.6393
1080,2142,2131,0.947551,6.45798,5781.44,5722.25,4996.56,4927.2,1451.23,1422.44,12.4843,12.0196
1081,2143,2092,0.896061,9.6305,6778.84,6703.38,5093.28,5122.07,1553.31,1547.92,12.5823,12.8094
1082,2144,NULL,0.24738,72.1502,6237.31,6106.9,4860.56,4518.52,1388.24,1421.27,11.0294,11.0993
1083,2145,2155,0.144458,1.23706,6657.39,6642.95,5234.69,5284.96,1550,1522.24,12.1456,12.0954
1084,2146,2131,0.809069,28.29,5360.46,5687.18,4910.72,4009.78,1431.94,1417.57,10.6033,11.3589
1085,2147,3487,1.47992,438.005,5842.51,5325.32,4532.23,3940.49,1319.61,1296.94,8.81655,9.99254
1086,2148,3081,0.710677,17.3678,6053.9,6441.45,5109.73,4952.98,1526.35,1483.78,11.708,11.5171
1087,2149,2131,0.412929,44.7896,5195.26,5568.76,4959.71,4316.31,1419.3,1389.86,10.8327,11.6947
1088,2150,50001,0.115802,188.8,6180.97,6215.48,5092.78,4787.32,1459.12,1489.02,11.9203,12.1457
1089,2151,2174,0.353381,6.70843,6476.31,6617.04,5051.82,4993.51,1492.68,1494.5,13.1053,12.4717
1090,2152,2132,0.427371,10.709,6706.23,6767.82,5117.85,5219.33,1514.1,1483.56,12.6534,12.2785
1091,2153,3237,0.426622,4.81067,6549.81,6632.28,5126.98,5116.77,1556.64,1558.72,13.0573,12.9113
1092,2154,NULL,0.121908,45.3333,5438.6,6126.91,4759.67,4499.65,1350.74,1367.45,10.4695,11.4902
1093,2155,2177,1.34012,21.101,6483.44,6459.35,5174.12,4859.07,1537.62,1494.2,11.0322,11.4323
1094,2156,NULL,19.3107,902.263,5047.07,5373.07,4874.51,4107.96,1364.56,1275.97,12.2212,10.5036
1095,2157,2167,0.72096,31.4282,6182.38,5936.5,5105.91,4245.84,1449.96,1449.67,13.0902,11.2929
1096,2158,NULL,0.552465,12.832,5562.29,5783.39,4600.44,4181.17,1352.6,1324.66,11.2293,11.5408
1097,2159,2133,0.707244,4.19814,6283.09,6126.79,5099.57,4863.73,1558.58,1529.95,11.3528,12.0058
1098,2160,2162,0.123146,11.4768,6762.6,6723.29,5104.16,5183.39,1494.69,1469.65,12.5374,11.9762
1099,2161,2168,0.0584983,1.18266,6716.27,6503.39,4883.58,4757.82,1527.46,1533.49,12.5022,12.4333
1100,2162,2132,6.93208,105.604,6496.8,6429.83,5067.9,4944.88,1519.06,1485.09,12.7662,11.7161
1101,2163,2143,0.0472538,5.78804,6471.48,5904.91,4996.81,4674.33,1516.12,1486.35,12.5018,11.9797
1102,2164,2217,2.32634,32.4037,6193.45,6164.4,4952.45,4834.12,1408.8,1476.64,12.5896,11.7439
1103,2165,2134,6.462,24.7196,6511.33,6358.97,5045.89,4779.86,1519.14,1481.09,11.8806,11.4704
1104,2166,2170,0.0346988,1.12942,6717.17,6645.02,5257.36,5006.33,1529.4,1524.11,11.3896,11.8031
1105,2167,2204,0.358737,14.9443,6099.53,5502.44,4998.44,4376.42,1449.38,1402.63,11.1434,9.79396
1106,2168,2133,8.02159,150.684,6596,6143.82,5098.9,4664.67,1532.24,1441.31,11.8325,11.5614
1107,2169,2168,0.0867369,0.428516,6608.18,6462.69,5075.74,5005.58,1548.14,1525.97,10.669,10.5557
1108,2170,2165,0.412059,2.62066,6627.85,6282.22,5113.43,5004.67,1542.83,1509.37,12.1667,11.8395
1109,2171,NULL,0.0444536,0.640207,6277.33,6206.75,5167.06,5274.22,1548.05,1585.93,11.7846,11.5904
1110,2172,NULL,0.10679,NULL,6525,NULL,4865.16,NULL,1349.06,NULL,11.6503,NULL
1111,2173,2165,0.203344,8.25328,6646.15,6371.73,5127.04,4248.87,1514.89,1482.89,12.1511,11.3253
1112,2174,3431,5.04921,93.2608,5914.36,6315.75,4993.13,4916.28,1448.86,1459.11,11.9472,11.8471
1113,2175,2217,3.06828,47.2683,5546.47,6117.41,5076.66,4726.7,1486.93,1473.65,12.3094,12.0677
1114,2176,NULL,0.0536808,NULL,6314.17,NULL,5294.82,NULL,1537.81,NULL,10.9319,NULL
1115,2177,2168,18.8966,145.855,6259.68,6340.53,5120.48,4855.44,1506.17,1451.14,11.7158,11.0421
1116,2178,2174,0.0498688,0.571363,5613.69,5713.35,4985.56,4593.5,1438.69,1404.95,12.2693,11.9857
1117,2179,3431,0.058533,0.687752,5761.79,5866.79,4884.76,4864.17,1417.9,1394.7,12.3292,12.2074
1118,2180,NULL,0.0544252,NULL,6516.7,NULL,5146.34,NULL,1483.93,NULL,12.8999,NULL
1119,2181,NULL,0.0462716,NULL,6529.7,NULL,5019.08,NULL,1474.45,NULL,12.2713,NULL
1120,2182,3082,0.260309,5.04316,5926.08,6442.43,5019.21,4963.15,1422.74,1354.85,11.7178,11.5199
1121,2183,2191,0.926156,11.2683,5221.31,6039.05,4971.73,4113.18,1435.59,1409.83,11.7755,11.2651
1122,2184,NULL,0.246419,NULL,6237.63,NULL,5116.63,NULL,1471.43,NULL,11.8904,NULL
1123,2185,NULL,0.0381223,NULL,5269.4,NULL,4965.92,NULL,1483.99,NULL,9.3343,NULL
1124,2186,3039,0.50956,21.1109,5273.62,5763.17,4707.02,3716.04,1368.84,1384.86,10.4401,10.979
1125,2187,NULL,0.0719755,NULL,5398.6,NULL,4945.79,NULL,1442.23,NULL,10.5914,NULL
1126,2188,NULL,0.0600129,NULL,5994.84,NULL,4570.2,NULL,1362.25,NULL,10.3685,NULL
1127,2189,2209,2.2203,25.6765,5738,5653.82,4905.02,4430.4,1401.74,1425.73,11.54,11.248
1128,2190,2217,0.686793,7.70655,6494.54,6316.1,5004.27,4771.12,1481.68,1490.32,11.936,12.0045
1129,2191,2248,10.7652,187.72,5893.36,6107.21,4983.66,4724.49,1478.94,1452.45,11.8725,11.6424
1130,2192,2195,0.145758,23.5133,6212.14,5719.38,5067.33,4349.45,1423.8,1436.08,10.8841,10.6034
1131,2193,NULL,0.115872,NULL,4124.42,NULL,4821.7,NULL,1482.4,NULL,11.955,NULL
1132,2194,2192,0.225252,8.03636,6209.87,5499.74,5048.05,4479.9,1458.66,1464.75,10.1501,10.0633
1133,2195,2202,0.0819747,4.98302,6153.81,6138.39,5000.45,4752.16,1387.2,1407.78,11.4134,10.9677
1134,2196,2199,2.81324,97.3677,6049.24,5677.17,4967.98,4192.3,1453.64,1425.21,11.1632,11.6253
