id,CODI_BASE,DSL,la,dc,sre,srd,dire,dird,dife,difd,dure,durd
236,1277,NULL,0.00152576,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
237,1278,NULL,0.00751562,NULL,3021.3,NULL,3182.13,NULL,1035.27,NULL,7.09297,NULL
238,1279,NULL,0.0741529,NULL,4559.89,NULL,2924.4,NULL,1007.72,NULL,9.91565,NULL
239,1280,NULL,0.210893,NULL,2198.07,NULL,2666.63,NULL,939.985,NULL,5.02138,NULL
240,1281,NULL,0.133214,NULL,3332.18,NULL,2763.64,NULL,1009.18,NULL,8.5996,NULL
241,1282,NULL,3.65031,97.3365,2769.24,3147.36,2555.06,2414.69,923.095,893.818,7.09683,7.27732
242,1283,NULL,0.018071,NULL,3337.36,NULL,2673.35,NULL,947.77,NULL,10.3604,NULL
243,1284,NULL,0.106951,NULL,4007.17,NULL,3021.03,NULL,1087.43,NULL,10.3211,NULL
244,1285,3377,3.16031,44.7432,3613.72,3950.99,2826.46,3073.91,960.704,971.164,8.59323,9.05669
245,1286,NULL,0.0167953,NULL,4270.86,NULL,2708.7,NULL,1072.86,NULL,10.8329,NULL
246,1287,NULL,0.0403843,NULL,2764.57,NULL,3017.93,NULL,1015.53,NULL,6.6778,NULL
247,1288,NULL,0.112865,NULL,4008.9,NULL,3118.95,NULL,1074.13,NULL,11.3067,NULL
248,1290,NULL,0.100983,NULL,3692.27,NULL,2985.95,NULL,1094.81,NULL,11.3561,NULL
249,1291,NULL,0.412857,22.9409,3308.24,3555.86,2708.55,2414.92,1002.95,1000.22,9.56631,8.8651
250,1292,1285,0.127413,NULL,3940.57,NULL,2909.77,NULL,968.558,NULL,8.95255,NULL
251,1293,NULL,0.126651,50.9788,2765.19,3586.78,3020.53,2139.3,955.84,969.594,7.93425,8.4957
252,1294,NULL,0.182553,NULL,3436.35,NULL,2989.29,NULL,1037.72,NULL,8.34581,NULL
253,1295,NULL,0.00290778,NULL,4264.02,NULL,2824.31,NULL,1056.89,NULL,10.1176,NULL
254,1296,NULL,0.00150079,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
255,1297,NULL,0.0312414,NULL,3611.63,NULL,3120.71,NULL,1089.86,NULL,10.034,NULL
256,1298,NULL,0.00972027,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
257,1299,NULL,0.163164,NULL,3410.04,NULL,2728.78,NULL,942.131,NULL,7.61021,NULL
258,1300,NULL,0.00426475,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
259,1301,3336,0.0574732,4.35461,3103.31,2661.57,2893.6,1919.12,991.428,977.328,7.79511,5.94424
260,1302,NULL,0.0569875,NULL,2408.31,NULL,2828.84,NULL,1047.76,NULL,8.14083,NULL
261,1303,NULL,0.00581715,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
262,1304,NULL,0.00607026,NULL,2815.8,NULL,3023.32,NULL,1050.91,NULL,9.8682,NULL
263,1305,NULL,0.0258202,NULL,3266.87,NULL,2931.64,NULL,1059.48,NULL,8.83247,NULL
264,1306,NULL,0.00283203,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
265,1307,NULL,0.166627,NULL,2655.24,NULL,2708.7,NULL,920.626,NULL,6.19396,NULL
266,1308,NULL,1.00179,4.07718,3910.59,3751.47,2747.63,2466.22,1025.13,1019,10.2039,10.2702
267,1309,NULL,0.258027,1.57951,3459.53,3320.69,2673.39,2642.92,994.466,990.008,8.37812,7.72466
268,1310,NULL,0.0188695,NULL,3024.96,NULL,3051.53,NULL,1062.39,NULL,9.38525,NULL
269,1311,NULL,0.00576252,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
270,1312,NULL,5.40694,27.1298,3341.96,3508.19,2789.84,2841.49,959.94,941.404,8.06938,8.57424
271,1313,NULL,0.0051078,NULL,2659.9,NULL,2397.22,NULL,930.393,NULL,8.44099,NULL
272,1314,NULL,0.0337233,NULL,3717.14,NULL,2871.66,NULL,1071.32,NULL,9.70536,NULL
273,1315,NULL,0.0222929,NULL,2791.18,NULL,2617.88,NULL,972.939,NULL,7.09914,NULL
274,1316,1309,0.149139,5.52572,2885.83,2789.99,2842.04,2017.87,970.95,974.944,7.77649,6.52772
275,1317,NULL,0.00889289,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
276,1318,NULL,0.00333673,NULL,1535.17,NULL,2309.97,NULL,954.871,NULL,8.00319,NULL
277,1319,NULL,0.0023836,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
278,1320,NULL,0.00300388,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
279,1321,NULL,0.0170486,NULL,3241.9,NULL,2609.04,NULL,1034.1,NULL,7.90123,NULL
280,1322,NULL,0.00398905,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
281,1323,NULL,0.00322504,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
282,1324,NULL,0.0155976,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
283,1325,NULL,0.0142808,NULL,3202.41,NULL,3079.4,NULL,1005.78,NULL,8.14835,NULL
284,1326,NULL,0.0011461,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
285,1327,NULL,0.0130992,NULL,4223.54,NULL,2751.98,NULL,1075.24,NULL,9.55815,NULL
286,1328,NULL,0.00676566,NULL,3673.97,NULL,3020.11,NULL,1042.5,NULL,9.34781,NULL
287,1329,NULL,0.0411062,NULL,3557.97,NULL,2634.63,NULL,936.585,NULL,9.20887,NULL
288,1330,NULL,0.00176171,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
289,1331,NULL,0.013282,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
290,1332,NULL,0.00293829,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
291,1334,NULL,0.0259562,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
292,1335,NULL,0.00429767,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
293,1336,NULL,0.000671109,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
294,1337,NULL,0.0281891,NULL,3384.25,NULL,2685.68,NULL,1012,NULL,9.62374,NULL
295,1338,NULL,0.0166883,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
296,1340,NULL,0.00262889,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
297,1341,NULL,0.00519217,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
298,1342,NULL,0.00273594,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
299,1343,NULL,0.0132101,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
300,1344,NULL,0.0475171,NULL,3736.57,NULL,2921.65,NULL,1044.37,NULL,9.6592,NULL
301,1345,NULL,0.0212296,NULL,4439.91,NULL,3009.58,NULL,1071.24,NULL,10.4669,NULL
302,1346,NULL,0.000732049,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
303,1347,1353,0.126849,0.973884,1333.38,2058.14,2775.35,2927.87,966.992,928.349,7.19606,6.80641
304,1348,NULL,0.0053625,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
305,1349,NULL,0.0318954,NULL,4142.06,NULL,2404.54,NULL,997.092,NULL,9.81049,NULL
306,1350,NULL,0.00151091,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
307,1351,NULL,0.0303883,NULL,3915.51,NULL,2938.65,NULL,1036.7,NULL,8.6817,NULL
308,1352,NULL,0.00104456,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
309,1353,1250,8.96466,121.179,2342.99,2676.44,2745.12,1754.39,925.763,908.053,5.8635,6.2334
310,1354,NULL,0.0281304,NULL,4347.51,NULL,2773.07,NULL,1065.37,NULL,10.9394,NULL
311,1355,NULL,0.352485,NULL,2951.51,NULL,2477.58,NULL,924.549,NULL,8.59608,NULL
312,1356,NULL,0.0418913,NULL,3239.94,NULL,2607.63,NULL,1005.18,NULL,8.70586,NULL
313,1357,1441,1.77439,11.2372,2678.71,3175.61,2799.12,2831.64,988.982,964.812,6.72256,8.14783
314,1358,NULL,0.00473044,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
315,1359,NULL,0.0115719,NULL,4476.17,NULL,3196.62,NULL,1079.69,NULL,9.83775,NULL
316,1360,NULL,0.000585169,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
317,1361,NULL,0.00806798,NULL,3136.07,NULL,2450.53,NULL,980.343,NULL,9.34621,NULL
318,1362,NULL,0.00147265,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
319,1363,NULL,0.00157892,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
320,1364,NULL,0.00677029,NULL,3329.76,NULL,2525.11,NULL,1020.31,NULL,8.2047,NULL
321,1365,NULL,0.0390834,NULL,4111.79,NULL,3101.46,NULL,1029.92,NULL,10.4008,NULL
322,1366,NULL,0.00979606,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
323,1367,NULL,0.0107672,NULL,2753.27,NULL,2810.18,NULL,952.409,NULL,8.32884,NULL
324,1368,NULL,0.0112804,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
325,1369,NULL,0.00498986,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
326,1370,NULL,4.91066,68.9268,2588.62,3749.82,2795.86,2495.12,1028.75,1032.56,7.1908,9.54869
327,1371,NULL,0.906016,10.7842,3352.75,3559.7,2808.11,2652.91,1025.19,1029.46,9.52689,9.07521
328,1372,NULL,0.142852,NULL,3051.2,NULL,2677.32,NULL,980.855,NULL,7.88747,NULL
329,1373,NULL,0.0057937,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
330,1374,NULL,0.0244599,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
331,1375,NULL,0.0330208,NULL,3707.54,NULL,3024.72,NULL,978.527,NULL,8.78549,NULL
332,1377,NULL,0.00986566,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
333,1378,NULL,0.0288461,NULL,4153.55,NULL,2879.5,NULL,1057.76,NULL,9.59236,NULL
334,1379,NULL,0.00888674,NULL,2057.46,NULL,2978.34,NULL,986.738,NULL,7.24054,NULL
335,1380,NULL,0.19115,NULL,4394.3,NULL,2834.02,NULL,987.293,NULL,10.1842,NULL
336,1381,NULL,0.00148984,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
337,1382,NULL,0.0134117,NULL,4117.09,NULL,2563.35,NULL,857.308,NULL,10.3502,NULL
338,1383,NULL,0.00283983,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
339,1384,1250,0.138775,1.17806,4235.44,4053.24,2886.79,2801.96,981.331,982.717,9.20567,9.03218
340,1385,NULL,0.0540811,NULL,1809.01,NULL,2724.91,NULL,984.996,NULL,5.95365,NULL
341,1386,1401,0.36796,5.13842,3891.25,3902.42,2829.39,2997.96,1021.8,986.931,9.33601,9.24245
