id,CODI_BASE,DSL,la,dc,sre,srd,dire,dird,dife,difd,dure,durd
2444,XX283,2627,0.00270484,0.158082,NULL,4367.28,NULL,4085.84,NULL,1340.18,NULL,11.5707
2445,XX284,2595,0.00930519,NULL,5184.86,NULL,3954.95,NULL,1326.53,NULL,11.1383,NULL
2446,XX285,2667,0.00351437,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2447,XX286,2546,0.00382833,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2448,XX287,2663,0.0118562,NULL,5725.44,NULL,4343.11,NULL,1327.95,NULL,11.1291,NULL
2449,XX288,2675,0.00543592,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2450,XX290,2513,0.00950424,0.45223,NULL,5271.33,NULL,4128.1,NULL,1263.22,NULL,10.1377
2451,XX291,XX290,0.00558113,1.68597,NULL,4661.49,NULL,4097.68,NULL,1237.23,NULL,10.2252
2452,XX292,XX291,0.00877814,0.468647,NULL,5018.94,NULL,4094.53,NULL,1183.19,NULL,10.0795
2453,XX294,1674,0.00461355,0.204701,NULL,4825.1,NULL,3983.16,NULL,1333.01,NULL,10.0291
2454,XX295,1674,0.00867411,0.0761869,NULL,5108.29,NULL,3591.1,NULL,1358.96,NULL,10.0523
2455,XX296,1676,0.00412969,0.115332,NULL,5227.19,NULL,3651.53,NULL,1342.02,NULL,10.1679
2456,XX297,1676,0.00402603,0.106777,5156.11,5241.9,3992.95,3906.14,1335.46,1330.27,10.1493,10.1308
2457,XX298,1776,0.00420942,0.193499,NULL,4441.43,NULL,3475.18,NULL,1336.02,NULL,9.64481
2458,XX299,1986,0.0044372,0.143392,NULL,3763.93,NULL,3845.19,NULL,1261.41,NULL,8.59501
2459,XX30,XX38,0.0386044,6.28703,4339.51,4427.35,3539.6,2803.88,1249.32,1214.82,8.18573,9.0461
2460,XX301,1522,0.0076153,0.124563,4599,4580,3435.04,3499.66,1277.51,1289.99,9.24097,9.4849
2461,XX302,2544,0.00185403,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2462,XX303,2574,0.0131499,0.613602,NULL,4700.4,NULL,3772.2,NULL,1293.98,NULL,11.768
2463,XX304,3147,0.0144973,1.11531,NULL,4752.64,NULL,3386.96,NULL,1259.95,NULL,9.55408
2464,XX31,1511,0.00543906,0.405363,NULL,4454.83,NULL,4003.36,NULL,1290,NULL,10.3593
2465,XX32,1511,0.00931642,0.496827,NULL,4749.91,NULL,4151.11,NULL,1290.51,NULL,10.3245
2466,XX33,1537,0.0104679,0.34268,5417.7,5321.98,3903.58,3710.21,1299.77,1284.61,10.3107,10.5064
2467,XX34,1537,0.00863199,0.440983,NULL,4519.47,NULL,4085.6,NULL,1311.92,NULL,10.5477
2468,XX38,1591,0.102725,6.52633,4875.89,4571.95,3685.63,2631.73,1231.89,1211.26,9.81512,9.11387
2469,XX40,XX38,0.0271782,0.785913,NULL,4001.31,NULL,2624.53,NULL,1272.55,NULL,8.10922
2470,XX424,1951,0.0109321,0.432749,4967.98,5340.69,3728.33,3470.47,1333.22,1357,10.4582,10.9278
2471,XX426,1940,0.0114025,0.325302,4765.77,4351.52,3514.55,3324.88,1293.29,1289.36,9.39947,9.1808
2472,XX427,3031,0.00629621,0.441138,NULL,4971.05,NULL,3511.97,NULL,1252.45,NULL,9.73847
2473,XX428,3036,0.0106862,0.153025,4980.55,4881.76,3529.64,3556.94,1278.99,1306.85,9.52731,8.81905
2474,XX430,3256,0.0074001,0.456726,NULL,5097.89,NULL,3566.34,NULL,1291.9,NULL,10.1071
2475,XX431,3256,0.015237,0.0985426,4514.82,4548.92,3741.18,3734.6,1298.68,1299.58,9.83283,9.75623
2476,XX433,3256,0.00978915,0.195623,4751.96,4792.58,3525.71,3473.93,1310.54,1309.39,10.178,10.17
2477,XX437,2608,0.00153542,0.161391,NULL,4883.75,NULL,3329.52,NULL,1287.98,NULL,11.219
